Link,Location of news,,,,,,
https://www.amherstk12.org/,"https://www.amherstk12.org/schools/nord/schools/steele-high-school
https://www.amherstk12.org/schools/nord/schoolcounselors
https://www.amherstk12.org/schools/powers/resources/social-media
https://www.amherstk12.org/schools/steele/about-us
https://www.amherstk12.org/schools/nord/pto
https://www.amherstk12.org/schools/steele
https://www.amherstk12.org/schools/powers/pto
https://www.amherstk12.org/schools/ajh/schoolcounselors
https://www.amherstk12.org/schools/powers/schoolcounselors
https://www.amherstk12.org/schools/nord/resources/social-media
https://www.amherstk12.org/schools/ajh/pto
https://www.amherstk12.org/schools/steele/resources/social-media
https://www.amherstk12.org/parents-students
https://www.amherstk12.org/schools/ajh/schools/amherst-junior-high-school
https://www.amherstk12.org/schools/powers/resources
https://www.amherstk12.org/schools/steele/departments/theatre
https://www.amherstk12.org/schools/powers/schools/amherst-junior-high-school
https://www.amherstk12.org/schools/ajh/resources
https://www.amherstk12.org/schools/ajh
https://www.amherstk12.org/schools/nord/resources
https://www.amherstk12.org/schools/ajh/resources/social-media
https://www.amherstk12.org/schools/ajh/schools/powers-elementary-school
https://www.amherstk12.org/schools/nord/schools/little-comets-preschool
https://www.amherstk12.org/nord-middle-school
https://www.amherstk12.org/schools/ajh/schools/little-comets-preschool
https://www.amherstk12.org/schools/steele/resources
https://www.amherstk12.org
https://www.amherstk12.org/community
https://www.amherstk12.org/staff
https://www.amherstk12.org/schools/ajh/schools
https://www.amherstk12.org/news/news-item
https://www.amherstk12.org/schools
https://www.amherstk12.org/schools/steele/schools/little-comets-preschool
https://www.amherstk12.org/schools/steele/schoolcounselors
https://www.amherstk12.org/schools/powers/schools
https://www.amherstk12.org/schools/ajh/schools/nord-middle-school
https://www.amherstk12.org/steele-high-school
https://www.amherstk12.org/schools/powers/schools/steele-high-school
https://www.amherstk12.org/schools/ajh/schools/steele-high-school
https://www.amherstk12.org/preschool
https://www.amherstk12.org/schools/steele/schools
https://www.amherstk12.org/schools/steele/departments/athletics
https://www.amherstk12.org/schools/powers/about
https://www.amherstk12.org/schools/steele/schools/amherst-junior-high-school
https://www.amherstk12.org/powers-elementary
https://www.amherstk12.org/schools/steele/schools/nord-middle-school
https://www.amherstk12.org/schools/nord/schools/nord-middle-school
https://www.amherstk12.org/schools/ajh/about
https://www.amherstk12.org/schools/nord/departments
https://www.amherstk12.org/news
https://www.amherstk12.org/district
https://www.amherstk12.org/schools/nord/schools/amherst-junior-high-school
https://www.amherstk12.org/amherst-junior-high
https://www.amherstk12.org/schools/powers/schools/little-comets-preschool
https://www.amherstk12.org/schools/powers/schools/powers-elementary-school
https://www.amherstk12.org/schools/nord/schools
https://www.amherstk12.org/departments
https://www.amherstk12.org/schools/powers/departments
https://www.amherstk12.org/schools/steele/schools/powers-elementary-school
https://www.amherstk12.org/schools/nord
https://www.amherstk12.org/parents-students/pto
https://www.amherstk12.org/schools/ajh/athletics
https://www.amherstk12.org/schools/preschool
https://www.amherstk12.org/schools/powers
https://www.amherstk12.org/parents-students/social-media
https://www.amherstk12.org/schools/powers/schools/nord-middle-school
https://www.amherstk12.org/schools/ajh/departments
https://www.amherstk12.org/schools/steele/departments
https://www.amherstk12.org/schools/steele/schools/steele-high-school
https://www.amherstk12.org/schools/nord/schools/powers-elementary-school
https://www.amherstk12.org/schools/steele/resources/creative-learning-center",,,,,,
https://www.aosr.org/,"https://www.aosr.org/news
https://www.aosr.org
https://www.aosr.org/home-backup-3-12-19
https://www.aosr.org/athletics/athletics-at-aosr
https://www.aosr.org/athletics
https://www.aosr.org/alumni
https://www.aosr.org/news/post
https://www.aosr.org/alumni-clone",,,,,,
https://www.aquinas-sta.org/,"https://www.aquinas-sta.org/academics/honor-societies/ndhs
https://www.aquinas-sta.org/activities/dance-marathon
https://www.aquinas-sta.org/academics/testing-profile
https://www.aquinas-sta.org/academics/2021-graduation-honors-requirements
https://www.aquinas-sta.org/athletics
https://www.aquinas-sta.org/about-sta/news
https://www.aquinas-sta.org/2018-summer-reading
https://www.aquinas-sta.org/academics/curriculum
https://www.aquinas-sta.org/academics/honor-societies/mat
https://www.aquinas-sta.org/academics/honor-societies/nehs
https://www.aquinas-sta.org/academics/honor-societies/trim
https://www.aquinas-sta.org/academics/honor-societies/rkhs
https://www.aquinas-sta.org/academics/honor-societies/qshs
https://www.aquinas-sta.org/academics/honor-societies/nfhs
https://www.aquinas-sta.org/academics/honor-societies/iths
https://www.aquinas-sta.org/academics/honor-societies/nihs
https://www.aquinas-sta.org/academics
https://www.aquinas-sta.org/athletics/raider-news/raider-posts
https://www.aquinas-sta.org/home-clone
https://www.aquinas-sta.org/parents
https://www.aquinas-sta.org/academics/honor-societies
https://www.aquinas-sta.org/giving
https://www.aquinas-sta.org/academics/honor-societies/nshs
https://www.aquinas-sta.org/academics/ap-dual-enrollment
https://www.aquinas-sta.org/about-sta/news/news-post
https://www.aquinas-sta.org/academics/honor-societies/nsphs
https://www.aquinas-sta.org/composer-basics-test
https://www.aquinas-sta.org/activities/march-for-life
https://www.aquinas-sta.org
https://www.aquinas-sta.org/giving/annual-fund
//www.aquinas-sta.org/academics/fine-arts
https://www.aquinas-sta.org/activities/close-up
https://www.aquinas-sta.org/students
https://www.aquinas-sta.org/activities/cailini
https://www.aquinas-sta.org/academics/leadership
https://www.aquinas-sta.org/activities/student-council
https://www.aquinas-sta.org/academics/honor-societies/nhs
https://www.aquinas-sta.org/academics/honor-societies/nahs
https://www.aquinas-sta.org/academics/honor-societies/nths",,,,,,
https://www.armbrae.ns.ca/,"https://www.armbrae.ns.ca/programmes/blog-clone
https://www.armbrae.ns.ca/blog
https://www.armbrae.ns.ca/ds-calendar-news
https://www.armbrae.ns.ca/programmes/blog
https://www.armbrae.ns.ca/programmes/news",,,,,,
https://www.asparis.org/,"https://www.asparis.org/covid-19/aspeople-highlights
https://www.asparis.org/covid-19/learningcontinues
https://www.asparis.org/home-fr
https://www.asparis.org/about-asp/newsarchive/details
https://www.asparis.org
https://www.asparis.org/about-asp/newsarchive",,,,,,
https://www.aspenacademy.org/,"https://www.aspenacademy.org/about/newsroom
https://www.aspenacademy.org/leadership-development
https://www.aspenacademy.org/academics/leadership-entrepreneurship
https://www.aspenacademy.org/old-pages-redesign/academics2/arts-and-athletics/technology-bfa70d9e-e3da-4766-8501-f28d74e30289/upper-school
https://www.aspenacademy.org/about/newsroom/in-the-news
https://www.aspenacademy.org/old-pages-redesign/academics2/upper-school
https://www.aspenacademy.org/old-pages-redesign/academics2/lower-school",,,,,,
https://www.aus.edu.kw/,https://www.aus.edu.kw,,,,,,
https://www.austinprep.org/,None found,,,,,,
https://www.austinseminary.edu/,https://www.austinseminary.edu/search-results,,,,,,
https://www.avongrove.org/,"https://www.avongrove.org/schools/high-school/guidance-department
https://www.avongrove.org
https://www.avongrove.org/district/district-news
https://www.avongrove.org/schools/elementary-school
https://www.avongrove.org/schools/high-school
https://www.avongrove.org/schools/middle-school
https://www.avongrove.org/schools/high-school/guidance-department/scholarships
https://www.avongrove.org/athletics
https://www.avongrove.org/district/district-news/middle-school-news
https://www.avongrove.org/schools/high-school/guidance-department/summer-opportunities
https://www.avongrove.org/district/district-news/high-school-news
https://www.avongrove.org/schools/intermediate-school
https://www.avongrove.org/athletics/athletics-department
https://www.avongrove.org/district/district-news/intermediate-school-news
https://www.avongrove.org/district/district-news/penn-london-elementary-school-news",,,,,,
